TRAAAEF128F4273421.h5,Adam Ant,Something Girls,"Adam Ant/Marco Pirroni
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something
Every girl is a something girl
Every girl has a somehing smile
Every girl is a something girl
For a while
If I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls
Every girl is a something girl
From the whites of her eyes
To the tip of a curl
Every girl sends a something boy
With that something
When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through
Every girl is a something girl
She's got she's got something",Rock,happy,1982
TRAAAFD128F92F423A.h5,Gob,Face the Ashes,"I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there
His limb is red, I have all clear
Settle the wave I'm on my way
Dreaming of red, memories are worst

I feel abrasive worn and tired, don't think I could win
Take me to a place I adore and then seal me in
I'm not the one I swear I'm not, no matter how I felt
Die in a crossfire runaway, face the ash again
Someone is killing me",Rock,sad,2007
TRAABJV128F1460C49.h5,Lionel Richie,Tonight Will Be Alright,"Little darling 
Where you've been so long 
I've been out here thinking about ya 
And the feeling's real strong 
Well the time has come to celebrate 
You and me girl so sounds great 
Cause tonight will be alright 
Oh baby 

Little darling, come on 
Let's take a ride 
To a midnight honey town and set it on fire 
We don't want to be mad 
But we have to be cool 
You and me girl 
Let's break all the rules 
Cause tonight will be alright 
Oh my baby, I'm gonna say it again 
I can see us moving on 
Down the highway 
I can see us loving 
Till our hearts desire 
Anything you wanna do girl 
You just tell me 
Cause it's alright, cause it's alright 

Little darling, telling you no use 
Keep me thinking about you honey 
My soul's on fire 
Well if you want me girl 
And the games I play 
Anything's alright, anything you say 
Cause tonight will be alright 
Alright, baby I'll say it again, alright 
Alright, alright, alright, baby 
We gonna make it alright 
You and me baby, alright",R&B,happy,1986
TRAABLR128F423B7E3.h5,Blue Rodeo,Floating,"Lead Vocal by Greg

Well, these late night conversations
Leave a strange taste,
Like french cigarettes.
And these coloured drinks
that you keep on throwin' at me
Just keep on reminding me
I came to forget.

So now every night
You insist on reminding me
Of my lost possibilities
And the stains on the wall.
Well, I don't mean to complain
But it hurts just the same.
And now both of us know
The leaves will fall on their own.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm goin' fast
I need love and it's you
And I feel like William Holden floating in a pool.

Yea, you tell me
Life is for living
It's best in the giving
But it's so hard to be free.
Still I do my best
But you refuse my gift
And now all that we share
Is a collection of tears.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm going fast
I need love and it's you
And I feel like William Holden floating in a pool.

Produced by Terry Brown
All songs written by Keelor/Cuddy
All songs published by Thunderhawk Music (SOCAN).
Copyright 1986, 1987 Blue Rodeo Productions. All rights reserved. Used with Permission.",Rock,sad,1987
TRAABVM128F92CA9DC.h5,Tesla,Caught In A Dream,"If you can imagine this
The whole world sharin' one big kiss
These are thoughts all through my brain
That I daydream every day
I'm alive and well
Right now I'm alive, I'm feelin' well
It's my life to live my way
So I'll keep daydreaming away
Who knows, maybe someday it will all come true
And I will get my way
And we will live as one

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

what cannot will be done
for every living thing under the sun
foggy color foggy race
just be one big happy face
among the sea of people
live among God's creatures sharing love 
that was sent down from above
here to share with one another
father, brother, sister, mother
everybody sharing love
sharing love

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

I close my eyes
And everything will be alright
Here in my fantasy
Living in harmony
Make my dream come alive

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

If you can imagine this
The whole world sharin' one big kiss
Take away the pain and hurt
Make like heaven here on earth
Without reason to die
Givin' everlasting life to all",Rock,happy,2004
TRAACER128F4290F96.h5,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,"First off let me say you look so tired...
Rest your head and shut your eyes
Empty ambition blankets the sky...
I'm thinking 'bout another world

Tonight
So drop the gown the game's over just push your face into the fight and it breaks my heart like dancing up all night ride so high we both start thinking 'bout another world tonight
And it feels so wrong like nothing we've ever...
Felt before

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Close your eyes tonight
Baby you can have it
Baby you can have it

Ooh baby gnaw me
Down to the bone
Soon you'll find I'm never gonna take you back home
Well there's so much you never told me
And there's not much I want to know
'cause your pretty face will do just fine
You'll be the star...

Of my every last show
Let's go for a long ride I'll show you places you won't ever want to leave

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
The stranger's candy, broken alleys
Tonight we could bring it all down we could bring it all down

They think this body's a dead note dancing to the beat but they'll never see this corpse coming 'till it kills them",Rock,happy,2004
TRAACFV128F935E50B.h5,SUE THOMPSON,James (Hold The Ladder Steady),"James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to mama and showed her my diamond ring
She said ""my poor little baby, you must be crazy, to think of such a thing""
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to daddy and said that we want to be wed
Daddy said ""nope, you'll just have to elope"" and laughed as he went to bed""
But James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
I'd hate to see 'em in the morning when they both completely flip
He'll be sayin' ""they cain't"", she'll be feeling faint""
And I'll be kissing my husband's lips
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.

James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady",Pop,happy,1985
TRAACHN128F1489601.h5,Five Bolt Main,Made Like This (Live),"Conclusions, illusions, of mainstream intrusions
I'm saying this is just your life
Brain of the main-frame, life
Your single one and only life
I'm starting from the back again, it's never ending
Ran off the track yes once again, the vibe is sending
So far from where I might have been, this message pending
I won't stop looking back again, the road is bending
Time exists on a band 'round your wrist, and the people you trust should be last on your list


We could solve the world's problems with just one wish, we were made like this
Time exists on a band 'round your wrist, and the people you trust should be last on your list
We could solve the world's problems with just one wish, we were made like this
Made like this, made like this
I'm saying this is just your life
(Chorus)
This is just your life, I'm saying this is just your life",Rock,sad,2006
TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease,"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love",Jazz,sad,1997
TRAACQT128F9331780.h5,John Wesley,The Emperor Falls,"Brick by brick
stone by stone
dismantle the will of a man
strip his flesh and bone

Reach out your hand
the moment comes
blade catches the light of your eyes
the man slowly comes undone

Nobody noticed
no one saw a thing
all turned a blind eye to the fallen
and the bad luck he brings

You wake in the morning after
the sky's a color that you can't see
friends have fallen by the wayside
why isn't anyone talking to me
get those funny looks in the market
people you loved just stare
wander on with your hands in your pockets
even your girlfriend don't care

They've all come to watch the emperor
They've all come to watch the emperor
They've all come to watch the emperor

To watch the emperor fall

One part truth
three parts deceit
two parts shit that you made up
add passion for heat

Did ya hear he said this
can you believe he done that
can you believe the nerve of the man
let me at him tell me where he's at
wake to your fave in the mirror
see someone you don't recognize
stare at the changes in the reflection
you've become someone that you despise",Rock,sad,1998
